Column 1,Column 2,Quality,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16
2010,,Quality,Units,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Cooking Apples,Bramley’s Seedling,1st,£/kg,0.59,0.58,0.65,0.66,0.63,0.62,0.62,0.68,0.65,0.59,0.62,0.64
,Bramley’s Seedling,2nd,£/kg,0.36,0.39,0.40,0.41,0.42,0.46,0.44,0.49,0.47,0.43,0.41,0.44
,Bramley’s Seedling,Ave,£/kg,0.56,0.53,0.60,0.62,0.59,0.58,0.54,0.62,0.61,0.56,0.57,0.61
Dessert Apples,Cox’s Orange-group,1st,£/kg,0.70,0.79,0.88,0.80,,,,,0.87,0.63,0.67,0.72
,Cox’s Orange-group,2nd,£/kg,0.41,0.48,0.51,0.48,,,,,0.55,0.45,0.45,0.46
,Cox’s Orange-group,Ave,£/kg,0.63,0.71,0.84,0.75,,,,,0.87,0.62,0.64,0.69
,Discovery,1st,£/kg,,,,,,,,0.72,0.53,,,
,Discovery,2nd,£/kg,,,,,,,,0.49,0.33,,,
,Discovery,Ave,£/kg,,,,,,,,0.70,0.50,,,
,Egremont Russet,1st,£/kg,0.67,0.71,0.79,0.72,0.62,,,,0.85,0.74,0.74,0.74
,Egremont Russet,2nd,£/kg,0.49,0.45,0.47,0.42,,,,,,0.66,0.56,0.52
,Egremont Russet,Ave,£/kg,0.66,0.68,0.77,0.72,0.62,,,,0.85,0.74,0.74,0.73
,Spartan,1st,£/kg,,,,,,,,,,0.62,0.63,0.58
,Spartan,2nd,£/kg,,,,,,,,,,,0.55,
,Spartan,Ave,£/kg,,,,,,,,,,0.62,0.63,0.58
,Worcester Pearmain,1st,£/kg,,,,,,,,,0.56,0.47,0.43,
,Worcester Pearmain,2nd,£/kg,,,,,,,,,0.22,,,
,Worcester Pearmain,Ave,£/kg,,,,,,,,,0.52,0.47,0.43,
,Red Pippin,1st,£/kg,,,,,,,,,0.62,0.49,,
,Red Pippin,2nd,£/kg,,,,,,,,,,,,
,Red Pippin,Ave,£/kg,,,,,,,,,0.62,0.49,,
,Gala,1st,£/kg,0.55,0.67,0.71,0.62,0.57,0.56,,,0.77,0.62,0.60,0.64
,Gala,2nd,£/kg,0.37,0.47,0.43,0.39,0.37,0.37,,,,0.44,,0.50
,Gala,Ave,£/kg,0.52,0.65,0.65,0.53,0.50,0.45,,,0.77,0.62,0.60,0.64
,Other Early Season,-,£/kg,,,,,,,,0.61,0.63,0.61,,
,Other Mid Season,-,£/kg,0.51,0.57,0.61,,,,,,,0.56,0.58,0.65
,Other Late Season,-,£/kg,0.54,0.59,0.65,0.58,0.54,0.52,,,,0.77,0.66,0.65
,Jonogold – group,1st,£/kg,0.43,0.56,0.61,0.55,0.58,0.42,,,,0.56,0.50,0.49
,Jonogold – group,2nd,£/kg,0.34,,,,,,,,,,,
,Jonogold – group,Ave,£/kg,0.42,0.56,0.61,0.55,0.58,0.42,,,,0.56,0.50,0.49
2011,,Quality,Units,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Cooking Apples,Bramley’s Seedling,1st,£/kg,0.61,0.62,0.64,0.64,0.66,0.68,0.73,0.67,0.61,0.61,0.64,0.63
,Bramley’s Seedling,2nd,£/kg,0.44,0.46,0.44,0.45,0.48,0.46,0.47,0.49,0.44,0.44,0.42,0.42
,Bramley’s Seedling,Ave,£/kg,0.59,0.60,0.62,0.61,0.64,0.63,0.66,0.65,0.58,0.58,0.59,0.57
Dessert Apples,Cox’s Orange-group,1st,£/kg,0.76,0.93,1.00,1.03,,,,1.09,0.76,0.67,0.66,0.72
,Cox’s Orange-group,2nd,£/kg,0.46,0.56,0.55,0.78,,,,,0.51,0.47,0.43,0.43
,Cox’s Orange-group,Ave,£/kg,0.71,0.89,0.93,1.01,,,,1.09,0.72,0.65,0.62,0.67
,Discovery,1st,£/kg,,,,,,,0.89,0.61,,,,
,Discovery,2nd,£/kg,,,,,,,0.54,0.47,0.44,,,
,Discovery,Ave,£/kg,,,,,,,0.87,0.60,0.44,,,
,Egremont Russet,1st,£/kg,0.69,0.80,0.81,1.01,,,,,0.76,0.74,0.74,0.69
,Egremont Russet,2nd,£/kg,0.47,0.45,0.44,,,,,,0.53,0.51,0.43,0.46
,Egremont Russet,Ave,£/kg,0.68,0.78,0.80,1.01,,,,,0.75,0.73,0.72,0.68
,Spartan,1st,£/kg,0.66,,,,,,,,0.77,0.92,0.53,0.58
,Spartan,2nd,£/kg,,,,,,,,,,0.55,0.55,0.44
,Spartan,Ave,£/kg,0.66,,,,,,,,0.77,0.90,0.53,0.54
,Worcester Pearmain,1st,£/kg,,,,,,,,0.69,0.60,,,
,Worcester Pearmain,2nd,£/kg,,,,,,,,,,,,
,Worcester Pearmain,Ave,£/kg,,,,,,,,0.69,0.60,,,
,Red Pippin,1st,£/kg,,,,,,,,,,,,
,Red Pippin,2nd,£/kg,,,,,,,,,,,,
,Red Pippin,Ave,£/kg,,,,,,,,,,,,
,Gala,1st,£/kg,0.67,0.85,0.80,0.79,0.72,,,,0.68,0.64,0.62,0.71
,Gala,2nd,£/kg,0.50,,0.45,0.74,,,,,0.50,0.40,0.39,0.45
,Gala,Ave,£/kg,0.67,0.85,0.78,0.78,0.72,,,,0.68,0.62,0.60,0.64
,Other Early Season,-,£/kg,,,,,,,,0.61,0.54,0.50,0.49,
,Other Mid Season,-,£/kg,0.61,0.61,0.61,0.76,,,,,,0.63,0.59,0.60
,Other Late Season,-,£/kg,0.62,0.70,0.69,0.63,0.55,,,,,0.69,0.68,0.67
,Jonogold – group,1st,£/kg,0.68,0.56,0.53,,,,,,,0.59,0.60,0.52
,Jonogold – group,2nd,£/kg,,,,,,,,,,0.49,,
,Jonogold – group,Ave,£/kg,0.68,0.56,0.53,,,,,,,0.59,0.60,0.52
2012,,Quality,Units,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Cooking Apples,Bramley’s Seedling,1st,£/kg,0.67,0.66,0.63,0.71,0.74,0.87,1.08,0.94,0.77,0.92,0.97,1.04
,Bramley’s Seedling,2nd,£/kg,0.43,0.46,0.44,0.47,0.55,0.60,0.54,0.52,0.52,0.53,0.55,0.71
,Bramley’s Seedling,Ave,£/kg,0.61,0.61,0.59,0.66,0.71,0.84,0.88,0.86,0.75,0.90,0.94,1.01
Dessert Apples,Cox’s Orange-group,1st,£/kg,0.75,0.79,0.83,0.91,0.86,,,,0.98,0.90,0.81,0.90
,Cox’s Orange-group,2nd,£/kg,0.44,0.47,0.47,0.49,,,,,0.65,0.50,0.41,0.54
